Date	Price	Open	High	Low	Change %
Mar 04, 2016	1259.44	1263.51	1279.98	1249.9	-0.34%
Mar 03, 2016	1263.69	1239.91	1267.44	1236.95	1.89%
Mar 02, 2016	1240.3	1231.96	1244.29	1224.1	0.65%
Mar 01, 2016	1232.26	1237.79	1249	1227.04	-0.47%
Feb 29, 2016	1238.14	1222.35	1241.29	1217.6	1.27%
Feb 26, 2016	1222.6	1234.06	1240.05	1211.2	-0.98%
Feb 25, 2016	1234.64	1229.06	1243.09	1220.8	0.43%
Feb 24, 2016	1229.35	1227.01	1253.3	1221.55	0.15%
Feb 23, 2016	1227.46	1208.36	1227.56	1206.8	1.55%
Feb 22, 2016	1208.74	1225.75	1226.35	1201.63	-1.58%
Feb 19, 2016	1228.19	1232.73	1234.79	1219.4	-0.34%
Feb 18, 2016	1232.35	1208.76	1239.9	1200.35	1.92%
Feb 17, 2016	1209.14	1199.81	1213.88	1195.4	0.73%
Feb 16, 2016	1200.35	1208.93	1217.18	1190.4	-0.79%
Feb 15, 2016	1209.95	1232.16	1234.82	1201.65	-2.27%
Feb 12, 2016	1238.05	1246.56	1249.05	1231.85	-0.71%
Feb 11, 2016	1246.89	1197.06	1260.98	1195.83	4.13%
Feb 10, 2016	1197.49	1188.56	1197.74	1180.9	0.73%
Feb 09, 2016	1188.85	1190.76	1199.29	1185.1	-0.19%
Feb 08, 2016	1191.14	1170.51	1200.98	1163.7	1.49%
Feb 05, 2016	1173.69	1155.34	1174.9	1144.96	1.55%
Feb 04, 2016	1155.74	1142.56	1157.59	1139.05	1.12%
Feb 03, 2016	1142.93	1128.76	1146	1123.95	1.22%
Feb 02, 2016	1129.12	1128.41	1130.7	1122.04	0.02%
Feb 01, 2016	1128.85	1117.5	1130.09	1115.86	0.97%
Jan 29, 2016	1118.04	1114.76	1118.5	1108.5	0.26%
Jan 28, 2016	1115.14	1125.16	1126.01	1111.56	-0.93%
Jan 27, 2016	1125.59	1119.96	1128.2	1114.5	0.45%
Jan 26, 2016	1120.57	1107.62	1123.3	1106.77	1.13%
Jan 25, 2016	1108.05	1097.46	1109.05	1096.96	0.89%
Jan 22, 2016	1098.3	1101.21	1102.98	1093.6	-0.30%
Jan 21, 2016	1101.6	1100.65	1104.98	1092.15	0.05%
Jan 20, 2016	1101.02	1086.7	1109.6	1086.33	1.28%
Jan 19, 2016	1087.12	1088.43	1094.7	1082.55	-0.16%
Jan 18, 2016	1088.9	1089.21	1093.26	1086.95	-0.02%
Jan 15, 2016	1089.1	1077.56	1097.59	1075.8	1.03%
Jan 14, 2016	1078	1093.12	1095.36	1071	-1.42%
Jan 13, 2016	1093.49	1086.9	1095.68	1079.25	0.59%
Jan 12, 2016	1087.05	1093.91	1099.54	1083.22	-0.66%
Jan 11, 2016	1094.26	1103.79	1108.51	1093.51	-0.90%
Jan 08, 2016	1104.24	1109.05	1112.4	1093.53	-0.45%
Jan 07, 2016	1109.25	1094.3	1110.2	1090.94	1.35%
Jan 06, 2016	1094.45	1077.4	1095.45	1074.55	1.56%
Jan 05, 2016	1077.66	1074.26	1082.3	1072.3	0.28%
Jan 04, 2016	1074.7	1064.96	1083.7	1061.5	1.32%
Jan 01, 2016	1060.74	1060.71	1061.41	1060.24	-0.05%
Dec 31, 2015	1061.3	1060.99	1063.68	1058	-0.01%
Dec 30, 2015	1061.45	1068.63	1072.85	1058.8	-0.71%
Dec 29, 2015	1068.99	1068.81	1075.79	1066.9	-0.01%
Dec 28, 2015	1069.05	1075.6	1077.15	1065.9	-0.63%
Dec 25, 2015	1075.88	1075.5	1075.88	1075.5	0.00%
Dec 24, 2015	1075.88	1070.15	1077.85	1069.3	0.52%
Dec 23, 2015	1070.35	1071.96	1075.75	1068	-0.19%
Dec 22, 2015	1072.36	1078.01	1081	1071.45	-0.56%
Dec 21, 2015	1078.44	1065.56	1081.88	1063.5	1.15%
Dec 18, 2015	1066.19	1051.34	1070.79	1050.66	1.37%
Dec 17, 2015	1051.74	1072.46	1073.09	1047.25	-1.98%
Dec 16, 2015	1072.94	1060.35	1078.59	1060.26	1.15%
Dec 15, 2015	1060.74	1062.51	1068.89	1059.2	-0.20%
Dec 14, 2015	1062.9	1073.39	1077.7	1062.47	-1.12%
Dec 11, 2015	1074.89	1071.21	1079.98	1062	0.31%
Dec 10, 2015	1071.54	1072.81	1076.46	1069.3	-0.16%
Dec 09, 2015	1073.21	1074.34	1085.6	1069.19	-0.14%
Dec 08, 2015	1074.69	1070.11	1078.85	1067.25	0.40%
Dec 07, 2015	1070.39	1085.61	1087	1069.66	-1.53%
Dec 04, 2015	1086.99	1062.01	1089.09	1057.75	2.30%
Dec 03, 2015	1062.57	1053.31	1065.8	1045.85	0.84%
Dec 02, 2015	1053.69	1069.11	1071.55	1050.25	-1.48%
Dec 01, 2015	1069.49	1064.16	1074.72	1062.99	0.48%
Nov 30, 2015	1064.42	1057.4	1068.9	1052.7	0.53%
Nov 27, 2015	1058.81	1071.19	1073.9	1052.46	-1.25%
Nov 26, 2015	1072.25	1070.96	1075.46	1069.4	0.08%
Nov 25, 2015	1071.39	1075.16	1080.85	1067.37	-0.38%
Nov 24, 2015	1075.49	1068.86	1080.89	1068.6	0.58%
Nov 23, 2015	1069.34	1076.61	1077.01	1066.6	-0.81%
Nov 20, 2015	1078.1	1081.91	1087.8	1075.3	-0.40%
Nov 19, 2015	1082.4	1070.75	1086.5	1069.35	1.05%
Nov 18, 2015	1071.14	1069.91	1073.18	1064.95	0.07%
Nov 17, 2015	1070.37	1082.45	1084.82	1065.18	-1.15%
Nov 16, 2015	1082.85	1087.76	1098.29	1080.93	-0.07%
Nov 13, 2015	1083.64	1084.66	1088.29	1079.65	-0.13%
Nov 12, 2015	1085.05	1085.86	1089.6	1074.26	-0.10%
Nov 11, 2015	1086.14	1089.46	1093.69	1083.65	-0.35%
Nov 10, 2015	1089.91	1091.61	1094.9	1085.05	-0.20%
Nov 09, 2015	1092.1	1089.56	1095.88	1087.95	0.32%
Nov 06, 2015	1088.64	1103.51	1110.68	1084.9	-1.39%
Nov 05, 2015	1103.95	1107.16	1111.61	1102.35	-0.32%
Nov 04, 2015	1107.44	1117.25	1122.85	1106	-0.91%
Nov 03, 2015	1117.6	1133.21	1138.3	1114.1	-1.42%
Nov 02, 2015	1133.75	1141.09	1143.01	1132.35	-0.76%
Oct 30, 2015	1142.38	1147.66	1150.47	1139.11	-0.31%
Oct 29, 2015	1145.91	1155.69	1162.76	1144.2	-0.88%
Oct 28, 2015	1156.1	1166.35	1182.9	1152	-0.93%
Oct 27, 2015	1166.95	1162.56	1168.9	1160.51	0.32%
Oct 26, 2015	1163.2	1164.05	1169.6	1161.9	-0.09%
Oct 23, 2015	1164.26	1165.21	1179.8	1158.77	-0.15%
Oct 22, 2015	1166.05	1166.66	1172.2	1162.5	-0.09%
Oct 21, 2015	1167.1	1175.41	1179.6	1163.5	-0.77%
Oct 20, 2015	1176.11	1170.6	1180.7	1166.75	0.48%
Oct 19, 2015	1170.45	1175.85	1177.9	1168.1	-0.57%
